epoch,train_loss,train_pp,val_loss,val_pp
1,3.075077,21.6516,2.604793,13.5284
2,2.786344,16.2216,2.525365,12.4955
3,2.722988,15.2257,2.490867,12.0717
4,2.687891,14.7006,2.468695,11.8070
5,2.664197,14.3564,2.455540,11.6527
6,2.616354,13.6857,2.400118,11.0245
7,2.575673,13.1402,2.377348,10.7763
8,2.548618,12.7894,2.367181,10.6673
9,2.525108,12.4922,2.350162,10.4873
10,2.506480,12.2617,2.342511,10.4073
